temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate,type,lat,long,prophet,interval,prophet_start,prophet_end
Aba Nigeria Temple,2,2,1,11500,6.3,68,15,83,192.2,1,Attached,Yes,2000-04-02,2002-02-23,2005-08-07,"Aba, Abia, Nigeria",OPERATING,7 August 2005,43202,aba-nigeria-temple,Aba, Abia,Nigeria,"August 7, 2005",NA,5.1128008,7.3651376,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Abidjan Ivory Coast Temple,NA,NA,NA,NA,0.55,NA,NA,NA,173.1,1,Attached,Yes,2015-04-05,2018-11-08,NA,"Abidjan, Ivory Coast",CONSTRUCTION,Construction,4069710,abidjan-ivory-coast-temple,Abidjan,,Ivory Coast,,NA,5.320357,-4.016107,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Accra Ghana Temple,2,2,1,17500,6,67,30,97,131.8,1,Attached,Yes,1998-02-16,2001-11-16,2004-01-11,"Accra, Greater Accra, Ghana",OPERATING,11 January 2004,36549,accra-ghana-temple,Accra, Greater Accra,Ghana,"January 11, 2004",NA,5.5571096,-0.2012376,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Adelaide Australia Temple,2,2,1,10700,6.94,3,1,4,137.7,1,Attached,Yes,1999-03-17,1999-05-29,2000-06-15,"Marden, South Australia, Australia",OPERATING,15 June 2000,38298,adelaide-australia-temple,Marden, South Australia,Australia,"June 15, 2000",NA,-34.8925643,138.6347392,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Alabang Philippines Temple,NA,NA,NA,NA,2.6,NA,NA,NA,57.5,1,Attached,No,2017-04-02,2020-06-04,NA,"Manila, Philippines",CONSTRUCTION,Construction,4098472,alabang-philippines-temple,Manila,,Philippines,,NA,14.5813098,120.9761612,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Albuquerque New Mexico Temple,2,3,1,34245,8.5,14,0,14,NA,1,Attached,Yes,1997-04-04,1998-06-20,2000-03-05,"Albuquerque, New Mexico, United States",OPERATING,5 March 2000,36550,albuquerque-new-mexico-temple,Albuquerque, New Mexico,United States,"March 5, 2000",NA,35.0841034,-106.650985,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Anchorage Alaska Temple,2,1,1,11937,5.4,9,0,9,205.1,1,Attached,Yes,1997-10-04,1998-04-17,1999-01-09,"Anchorage, Alaska, United States",OPERATING,9 January 1999,36551,anchorage-alaska-temple,Anchorage, Alaska,United States,"January 9, 1999",NA,61.2163129,-149.894852,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Antofagasta Chile Temple,NA,NA,NA,23000,1.9,NA,NA,NA,66.5,1,Attached,No,2019-04-07,2020-11-27,NA,"Antofagasta, Chile",CONSTRUCTION,Construction,4119596,antofagasta-chile-temple,Antofagasta,,Chile,,NA,-23.6463741,-70.3980033,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Apia Samoa Temple,2,2,1,18691,2,25,0,25,36.6,1,Attached,Yes,1977-10-15,1981-02-19,1983-08-05,"Apia, Pesega, Samoa",OPERATING,5 August 1983,28,apia-samoa-temple,Apia, Pesega,Samoa,"August 5, 1983",NA,-13.8344639,-171.7649144,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Arequipa Peru Temple,2,2,1,26969,7.91,21,5,26,NA,1,Attached,Yes,2012-10-06,2017-03-04,2019-12-15,"Arequipa, Peru",OPERATING,15 December 2019,4017570,arequipa-peru-temple,Arequipa,,Peru,"December 15, 2019",NA,-16.3988667,-71.5369607,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Asunción Paraguay Temple,2,2,1,11906,1.13,16,15,31,356.3,1,Attached,Yes,2000-04-02,2001-02-03,2002-05-19,"Asunción, Alto Paraguay, Paraguay",OPERATING,19 May 2002,43204,asuncion-paraguay-temple,Asunción, Alto Paraguay,Paraguay,"May 19, 2002",NA,-25.2800459,-57.6343814,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Atlanta Georgia Temple,4,4,1,34500,9.6,17,0,17,NA,1,Attached,Yes,1980-04-02,1981-03-07,1983-06-01,"Sandy Springs, Georgia, United States",OPERATING,1 June 1983,29,atlanta-georgia-temple,Sandy Springs, Georgia,United States,"June 1, 1983",NA,33.9242688,-84.3785379,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Auckland New Zealand Temple,4,3,1,NA,NA,NA,NA,NA,196.9,1,Attached,No,2018-10-07,2020-06-13,NA,"Auckland, New Zealand",CONSTRUCTION,Construction,4114417,auckland-new-zealand-temple,Auckland,,New Zealand,,NA,-36.852095,174.7631803,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
